"meshDataId","!7369fb6a","!75f19024","latitudeI","longitudeI","createdAt"
"0cc87ef8-91b8-46ec-a76e-67b4903b7844",-88,-78,"458314425","137416708","2026-01-18 21:06:48.193"
"41be5f8c-393e-48f0-a005-0b8e94ef9d89",-80,-79,"458330271","137401738","2026-01-18 21:07:04.082"
"dbb47019-0243-4674-9b39-4d89e58a1c7d",-85,-95,"458346263","137383448","2026-01-18 21:07:19.362"
"d0d6ae1d-d51b-49db-bba1-23bb90604fbf",-80,-92,"458363410","137386350","2026-01-18 21:07:34.414"
"a65ccc8b-8d2a-45e9-951c-909d66122f20",-81,-75,"458380378","137377038","2026-01-18 21:07:49.457"
"f42bc03d-453b-49dc-a430-f61db4e1597d",-76,-78,"458396340","137359858","2026-01-18 21:08:04.74"
"572c90a5-f50e-4162-9dbb-2805dd378607",-80,-66,"458408466","137342408","2026-01-18 21:08:19.994"
"900d9323-f1fe-4d19-ad92-162be1371182",-99,-64,"458417995","137330586","2026-01-18 21:08:35.254"
"97ade830-31ce-4eb0-a257-e48e510b33d3",-84,-55,"458429363","137325975","2026-01-18 21:08:50.165"
"12608e7d-7dbe-4b3d-8105-54f868909031",-81,-61,"458447313","137301445","2026-01-18 21:09:06.128"
"4057f37e-41c6-4dd6-9ce7-0fa771c2857b",-103,NULL,"458470863","137278083","2026-01-18 21:09:21.116"
"a0d122ae-7df8-4d3e-8ca9-3a4e07f1c70d",-72,NULL,"458493058","137243420","2026-01-18 21:09:36.266"
"932b7a7d-b832-4610-925f-de62f8b91a59",-87,-79,"458526656","137188428","2026-01-18 21:10:06.173"
"b4b419bf-1b46-44d7-9c13-6feb2cbd1184",-83,-82,"458552196","137193925","2026-01-18 21:10:21.998"
"4d50459c-708c-477d-a7d1-60bebaadff46",-79,-93,"458572298","137195003","2026-01-18 21:10:37.169"
"bcf168fa-856d-476e-9a64-e0d9e6f1ebec",-96,-99,"458574255","137200270","2026-01-18 21:10:52.217"
"e9c9aeda-55cd-4724-931a-41947bcc3d29",-87,-99,"458565640","137208161","2026-01-18 21:11:07.145"
"cc6a3351-fa70-4869-bb23-21567ea647cb",-90,-78,"458558950","137220351","2026-01-18 21:11:23.099"
"58f75d71-a227-45ee-9cec-373dd7d86f43",-92,-78,"458558838","137233710","2026-01-18 21:11:38.561"
"f3b5d219-52dc-4674-9bd0-1467b3674c1a",-82,-104,"458555581","137236355","2026-01-18 21:11:54.258"
"58964beb-dfaf-4b7e-8d02-4d07ebc109ab",NULL,-101,"458542836","137238591","2026-01-18 21:12:24.168"
"ca7afaa1-85f7-4854-bd0f-83167ad3b536",NULL,-78,"458539615","137244763","2026-01-18 21:12:39.162"
"59dcf78c-a56e-4b10-bade-dfe180a3545e",-126,-65,"458536266","137253101","2026-01-18 21:12:54.106"
"db2cd3c7-4c7f-4486-93fb-00ba21981769",-81,-63,"458533405","137271416","2026-01-18 21:13:19.157"
"41a5ee48-7732-4556-bf60-37fafef65f8d",-72,-69,"458530986","137285005","2026-01-18 21:13:34.937"
"6e3e9548-adcd-4820-a526-a2fde2d5924d",-71,-63,"458529228","137293271","2026-01-18 21:13:50.202"
"8e887fe7-d376-49b8-87aa-f9c8b4dbc023",-74,-68,"458530030","137292091","2026-01-18 21:14:05.54"
"55a9a990-ed2a-488f-a945-7a2e21276186",-74,-68,"458530893","137291650","2026-01-18 21:14:41.147"
"2817966c-a331-497a-afb2-9d9b4c28602d",-76,-71,"458532986","137289348","2026-01-18 21:14:56.02"
"e0488c00-f284-4a84-a00f-86a293303eec",-81,-78,"458535285","137287053","2026-01-18 21:15:11.029"
"2ba8155f-76db-4db5-821c-974de57851d9",-82,-73,"458537680","137284493","2026-01-18 21:15:26.079"
"8f08cf8b-2022-453d-a70e-33c74b60c924",-80,-79,"458539911","137286693","2026-01-18 21:15:42.002"
"43a852f3-c175-4b56-97c3-38dd81f0e2e2",-77,-75,"458541695","137290720","2026-01-18 21:15:57.045"
"07066794-8c05-4b11-a58f-bcc267125d43",-82,-79,"458544730","137287643","2026-01-18 21:16:12.225"
"1ab72b3a-260e-4eac-bc67-754f0a77d2ee",-75,-77,"458546033","137281933","2026-01-18 21:16:27.1"
"e6b71c25-85a4-4482-b111-c0296d87e435",-81,-78,"458547391","137276938","2026-01-18 21:16:42.092"
"d8b1f35d-068c-4948-ac6c-4686c3c9014d",-56,-74,"458547353","137271546","2026-01-18 21:16:57.389"
"217759a4-3ab7-4d04-a059-7a7a93a53854",-45,-76,"458547540","137265306","2026-01-18 21:17:12.342"
"919701ef-a728-4e11-b449-c238071e62f1",-45,-74,"458547618","137263981","2026-01-18 21:17:28.463"
"3499a3f6-2754-4ab2-9575-1300ff56837d",-52,-72,"458547938","137263441","2026-01-18 21:18:15.585"
"30f157b1-14f2-4abb-9d64-d3681261b65e",NULL,-68,"458547045","137267131","2026-01-18 21:18:31.099"
"971ee85a-9528-420e-9f2e-1501decc7ed8",NULL,-73,"458547485","137272351","2026-01-18 21:18:46.1"
