row,lat,lon,!75f19024_mesaured_rssi,!75f19024_predicted_rssi,!75f19024_path_loss_rssi,!75f19024_los_obstructed,!75f19024_fresnel_60_obstructed,!75f19024_first_fresnel_obstructed,!7369fb6a_mesaured_rssi,!7369fb6a_predicted_rssi,!7369fb6a_path_loss_rssi,!7369fb6a_los_obstructed,!7369fb6a_fresnel_60_obstructed,!7369fb6a_first_fresnel_obstructed,!da5ad56c_mesaured_rssi,!da5ad56c_predicted_rssi,!da5ad56c_path_loss_rssi,!da5ad56c_los_obstructed,!da5ad56c_fresnel_60_obstructed,!da5ad56c_first_fresnel_obstructed
139,45.8535986,13.7177518,-78.0,-60.19,-64.65,False,False,False,-76.0,-53.27,-57.980000000000004,False,True,True,-85.0,-55.96,-59.22,False,True,True
140,45.8523496,13.7166173,-79.0,-60.05,-64.56,False,False,False,-82.0,-54.83,-59.45,False,True,True,-81.0,-57.849999999999994,-58.53,False,False,True
141,45.851785,13.7154958,-90.0,-60.28,-64.75,False,True,True,-84.0,-55.85,-60.519999999999996,False,False,True,-85.0,-59.879999999999995,-58.629999999999995,False,True,True
142,45.8514846,13.7138181,-102.0,-60.739999999999995,-65.22,False,True,True,-88.0,-60.09,-61.74,False,True,True,-82.0,-60.18000000000001,-59.36999999999999,False,True,True
143,45.8509821,13.7119556,-79.0,-65.02,-65.70000000000002,False,True,True,-91.0,-76.17,-62.96,False,False,True,-85.0,-63.44,-60.17000000000001,False,True,True
144,45.850011,13.7103733,,,,,,,-102.0,-78.82,-64.03,False,False,True,,,,,,
145,45.8492648,13.7086628,-79.0,-98.2,-66.42000000000002,True,True,True,-93.0,-80.24,-64.99000000000001,False,True,True,-84.0,-96.74,-61.45000000000001,True,True,True
146,45.8483686,13.707309,-69.0,-94.4,-66.72,True,True,True,-124.0,-77.93,-65.75,False,True,True,-101.0,-93.09,-62.02,True,True,True
147,45.8481791,13.7062235,-99.0,-89.76,-67.03,True,True,True,-97.0,-76.13,-66.20000000000002,False,True,True,-84.0,-88.12,-62.550000000000004,True,True,True
148,45.8486268,13.7047396,-113.0,-98.22,-67.5,True,True,True,-100.0,-79.31,-66.62,False,True,True,-84.0,-93.66,-63.309999999999995,True,True,True
149,45.8491195,13.7034965,-79.0,-96.92,-67.88,True,True,True,-106.0,-81.4,-66.95000000000002,False,True,True,-84.0,-96.09,-63.90999999999999,True,True,True
150,45.8488085,13.702305,,,,,,,-113.0,-80.86,-67.4,False,False,True,,,,,,
151,45.8481821,13.7013468,-79.0,-90.14,-68.36000000000001,True,True,True,-97.0,-81.73,-67.81,False,False,True,-85.0,-86.67,-64.70000000000002,True,True,True
152,45.8472753,13.7015213,-78.0,-85.47,-68.25,True,True,True,-102.0,-79.67,-67.92000000000002,False,True,True,-84.0,-78.74,-64.59,True,True,True
153,45.846346,13.7029705,-78.0,-84.0,-67.82,True,True,True,-88.0,-78.95,-67.68,False,False,False,-84.0,-74.54,-63.96999999999999,True,True,True
154,45.8460186,13.7048451,-79.0,-91.0,-67.27000000000001,True,True,True,-90.0,-75.15,-67.19,False,False,True,-98.0,-82.59,-63.12999999999999,True,True,True
155,45.8473743,13.7055658,-101.0,-94.89,-67.15,True,True,True,-94.0,-77.51,-66.62,False,True,True,-99.0,-92.76,-62.809999999999995,True,True,True
156,45.8480081,13.7062338,-79.0,-84.43,-67.00999999999999,True,True,True,-100.0,-78.68,-66.24000000000001,False,True,True,-85.0,-87.0,-62.529999999999994,True,True,True
157,45.847144,13.708527,-80.0,-78.36,-66.22,True,True,True,-96.0,-74.91,-65.66,False,False,True,-85.0,-73.61,-61.21,True,True,True
158,45.8462086,13.7099858,-79.0,-80.24,-65.65,True,True,True,-92.0,-60.97,-65.48000000000002,False,False,False,-84.0,-69.42,-60.289999999999985,True,True,True
159,45.8460471,13.7119488,-79.0,-79.11,-64.92000000000002,True,True,True,-79.0,-61.040000000000006,-64.87,False,False,False,-83.0,-73.06,-58.89999999999999,True,True,True
160,45.846232,13.7139126,-79.0,-85.96,-64.16,True,True,True,-90.0,-61.31999999999999,-64.09,False,True,True,-83.0,-72.51,-57.239999999999995,True,True,True
161,45.8460543,13.7158603,,,,,,,-103.0,-58.97,-63.509999999999984,False,True,True,-112.0,-61.129999999999995,-55.22,True,True,True
162,45.846121,13.7178268,-70.0,-71.18,-62.37,True,True,True,-89.0,-76.31,-62.800000000000004,False,False,False,-89.0,-58.980000000000004,-52.53,True,True,True
163,45.8460588,13.7197403,-69.0,-60.06999999999999,-61.339999999999996,False,True,True,-96.0,-57.57,-62.27,False,False,False,-74.0,-49.68,-48.8,True,True,True
164,45.84606,13.7217341,-80.0,-57.650000000000006,-60.14000000000001,False,True,True,-80.0,-57.22,-61.759999999999984,False,False,False,-47.0,-34.67,-41.8,False,True,True
165,45.84618,13.7232993,-65.0,-55.37,-59.11999999999999,False,False,True,-82.0,-56.68,-61.34999999999999,True,True,True,-27.0,35.45,-27.15,False,False,False
